Line,English_name,Russian_name,Stations,Color,First_Opened,Latest_extension,Length,Avg_Dist
1,Sokolnicheskaya,Сокольническая,27,#EF161E,1935,2024,43.4,1.61
2,Zamoskvoretskaya,Замоскворецкая,24,#2DBE2C,1938,2018,42.8,1.86
3,Arbatsko-Pokrovskaya,Арбатско-Покровская,22,#0078BE,1938,2012,45.1,2.15
4,Filyovskaya,Филёвская,13,#00BFFF,1958,2006,14.9,1.24
5,Koltsevaya,Кольцевая,12,#8D5B2D,1950,1954,19.3,1.61
6,Kaluzhsko-Rizhskaya,Калужско-Рижская,24,#ED9121,1958,1990,37.8,1.63
7,Tagansko-Krasnopresnenskaya,Таганско-Краснопресненская,23,#800080,1966,2015,42.2,1.92
8,Kalininskaya-Solntsevskaya,Калининская-Солнцевская,22,#FFD702,1979,2023,44.6,2.15
9,Serpukhovsko-Timiryazevskaya,Серпуховско-Тимирязевская,25,#999999,1985,2002,41.5,1.72
10,Lyublinsko-Dmitrovskaya,Люблинско-Дмитровская,26,#99CC00,1995,2023,44.3,1.77
11,Bolshaya Koltsevaya,Большая кольцевая,29,#82C0C0,2018,2023,57.5,1.98
12,Butovskaya,Бутовская,7,#A1B3D4,2003,2014,10,1.67
13,Monorail,Монорельс,6,#B9C8E7,2004,2004,4.7,0.94
14,Moscow Central Circle,Московское центральное кольцо,31,#EF161E,2016,2016,54,1.74
15,Nekrasovskaya,Некрасовская,8,#DE64A1,2019,2020,14,1.75
16,Troitskaya,Троицкая,4,#03795F,2024,2024,7.2,1.81